lga,lga_name,metro_rural,dh_region,area_of_lga_sq_km,asgc_code,most_populpus_community,distance_to_melbourne,travel_time_to_melbourne,remoteness_area,aria_measures_low_avg_high,business,industrial,residential,rural,other,per_annum_population_change_2000_2010,per_annum_projected_population_change_2010_2022,erp_2010_females_0_14,erp_2010_females_15_24,erp_2010_females_25_44,erp_2010_females_45_64,erp_2010_females_65_84,erp_2010_females_85,erp_2010_females_total,erp_2010_males_0_14,erp_2010_males_15_24,erp_2010_males_25_44,erp_2010_males_45_64,erp_2010_males_65_84,erp_2010_males_85,erp_2010_males_total,erp_2010_total_0_14,erp_2010_total_15_24,erp_2010_total_25_44,erp_2010_total_45_64,erp_2010_total_65_84,erp_2010_total_85,erp_2010_total,erp_2010_0_14,erp_2010_15_24,erp_2010_25_44,erp_2010_45_64,erp_2010_65_84,erp_2010_85,total_fertility_rate,rank_total_fertility_rate,atsi_population,rank_atsi_population,born_overseas,rank_born_overseas,speak_lote_at_home,rank_lote,low_english_proficiency,rank_low_english_proficiency,anglo_saxon_celtic_background,rank_anglo_saxon_celtic,new_settler_arrivals_per_100_000_population,rank_new_settler_arrivals,humanitarian_arrivals,rank_humanitarian_arrivals,believe_multiculturalism_makes_life_better,rank_believe_multiculturalism_makes_life_better,irsed,rank_irsed,households_with_internet_connected,rank_households_with_internet_connected,gaming_machine_losses_per_head_of_population,rank_gaming_machine_losses,family_incidents_per_1_000_population,rank_family_incidents_per_1_000_population,drug_usage_possession_offences_per_1_000_population,rank_drug_usage_possession_offences_per_1_000_population,total_offences_per_1_000_population,rank_total_offences_per_1_000_population,who_feel_safe_on_street_after_dark,rank_feel_safe_on_street_after_dark,of_population_which_volunteers,rank_population_which_volunteers,of_population_with_membership_of_organised_groups,rank_membership_of_organised_groups,of_parents_who_participate_in_schools,rank_parents_who_participate_in_schools,of_population_who_believe_the_area_has_good_facilities_and_se,rank_believe_the_area_has_good_facilities_and_services,unemployment_rate,rank_unemployment_rate,of_persons_with_individual_income_400_per_week,rank_individual_income_400,female_low_income,male_low_income,families_headed_by_one_parent,rank_one_parent_families,female_one_parent_families,male_one_parent_families,of_households_with_income_650_per_week,rank_households_with_income_650_per_week,low_income_families_with_children,rank_low_income_families_with_children,population_with_food_insecurity,rank_population_with_food_insecurity,of_households_with_housing_costs_40_of_income,rank_households_with_housing_costs_40_of_income,of_rental_housing_that_is_affordable,rank_rental_housing_that_is_affordable,median_house_price,rank_median_house_price,median_rent_for_3_bedroom_house,rank_median_rent_for_3_bedroom_house,new_dwellings_per_1_000_population,rank_new_dwellings_per_1_000_population,social_housing_as_a_percentage_of_total_dwellings,rank_social_housing_as_a_percentage_of_total_dwellings,dwellings_with_no_motor_vehicle,rank_dwellings_with_no_motor_vehicle,passenger_vehicles_per_1_000_population,rank_passenger_vehicles_per_1_000_population,motor_vehicles_more_than_ten_years_old,rank_motor_vehicles_more_than_ten_years_old,household_recycling_diversion_rate,rank_household_recycling_diversion_rate,household_garbage_yield_kg,rank_household_garbage_yield,fte_students,year_9_students_who_attain_tiol_minimum_standards_in_read,rank_year_9_students_who_attain_tiol_minimum_standards_in_r,year_9_students_who_attain_tiol_minimum_standards_in_writ,rank_year_9_students_who_attain_tiol_minimum_standards_in_w,year_9_students_who_attain_tiol_minimum_standards_in_nume,rank_year_9_students_who_attain_tiol_minimum_standards_in_n,of_population_who_did_not_complete_year_12,rank_population_who_did_not_complete_year_12,of_population_with_higher_education_qualification,rank_population_with_higher_education_qualification,students_attending_a_government_school,rank_students_attending_a_government_school,low_birth_weight_babies,rank_low_birth_weight_babies,persons_reporting_asthma,rank_persons_reporting_asthma,persons_reporting_type_2_diabetes,rank_persons_reporting_type_2_diabetes,asthma_admission_rate_ratio,rank_asthma_admission_rate_ratio,diabetes_complications_admission_rate_ratio,rank_diabetes_complications_admission_rate_ratio,persons_overweight_or_obese,rank_persons_overweight_or_obese,females_overweight_or_obese,rank_females_overweight_or_obese,males_overweight_or_obese,rank_males_overweight_or_obese,cancer_incidence_per_100_000_population,cancer_incidence___females_per_100_000,cancer_incidence___males_per_100_000,acsc_acute_per_1_000_population,rank_acsc_acute,acsc_chronic_per_1_000_population,rank_acsc_chronic,acsc_vaccine_preventablem_per_1_000_population,rank_acsc_vaccine_preventable,notifications_per_1_000_people_of_pertussis,rank_pertussis_notifications,notifications_per_1_000_people_of_influenza,rank_influenza_notifications,notifications_per_1_000_people_of_chlamydia,rank_chlamydia_notifications
Grampians,GRAMPIANS,,,48617.89823,NA,,,,NA,,<1%,<1%,<1%,79.40%,20%,0.010181472,0.012404763,21355,14809,28892,30729,16429,3153,115367,22091,16001,27580,30810,14675,1631,112788,43446,30810,56472,61539,31104,4784,228155,0.190423177,0.135039776,0.247515943,0.269724529,0.136328373,0.020968201,,4,0.008978592,4,0.085477293,7,0.03,8,0.003846328,8,0.841137438,2,109.1363328,7,0.044176707,6,0.6365,7,,,0.540334227,5,497.9882621,6,8.621331989,3,1.806512239,4,66.50961539,3,0.6442,4,0.283545563,1,0.6363,4,0.4801,5,0.7518,2,5.842817806,2,0.503454351,3,0.612372534,0.387627466,0.152816427,6,0.835296918,0.164703082,0.382612986,3,0.101940958,5,0.064,3,0.067585513,8,,,,,250,6,8.665161842,5,0.043085214,5,0.073991212,5,584.7029506,6,0.55591412,2,0.287373443,8,508.8722915,1,36896.5,0.897157816,8,0.857196684,8,0.925083861,8,0.64206158,4,0.319535147,5,0.682118627,4,0.068864933,3,0.134,1,0.047,4,0.9,5,0.98,3,0.521,5,0.451,5,0.592,5,602.2221735,503.6102178,703.0889811,15.20019285,2,21.25309548,4,0.714426596,5,1.875917688,3,0.306808968,6,2.768910926,5
Greater Bendigo ,GREATER BENDIGO,Rural,Loddon Mallee,2999.15785,22620,Kangaroo Flat,150.4,116.7,Highly Accessible,(0.30 / 1.00 / 1.78),<1%,<1%,3.50%,72.40%,23.50%,0.015921274,0.014809585,9835,8033,13652,13411,7052,1422,53405,10199,7611,12852,13064,6315,746,50787,20034,15644,26504,26475,13367,2168,104192,0.192279638,0.150145885,0.254376536,0.254098203,0.128291999,0.02080774,1.89,55,0.011611406,14,0.062994085,69,0.023,60,0.002693318,65,0.874608902,12,126.6891892,35,0.159090909,10,0.57,67,984.4,33,0.559457143,38,563.9842593,37,7.227042383,30,1.266633715,48,51.44520597,46,0.6173,48,0.247404309,41,0.5653,65,0.5654,29,0.755,56,5.141944529,34,0.497239576,30,0.616654492,0.383345508,0.180129274,8,0.844850949,0.155149051,0.371525224,36,0.116300902,15,0.076,19,0.079988573,31,0.474674385,42,262000,47,280,37,9.45370086,28,0.054802782,15,0.081842113,26,580.2682836,50,0.551274907,32,0.266496018,69,610.7793154,7,17291.5,0.911302983,47,0.862529458,51,0.9376,48,0.628532815,40,0.323124932,31,0.701490577,31,0.067407025,30,0.122237,23,0.057111,16,0.86,58,0.99,38,0.568754,16,0.489089,18,0.661374,13,533.6302211,434.4162532,637.9585327,13.31196253,45,20.23187961,41,0.518273956,59,1.52602887,30,0.201550983,53,4.789235258,7
Greater Dandenong ,GREATER DANDENONG,Metro,Southern Metropolitan,129.5960557,22670,Noble Park,28.2,43,Highly Accessible,(0.00 / 0.02 / 0.09),5%,19.90%,28.80%,19.20%,27.10%,0.007359274,0.010578609,12376,9340,19743,16552,9046,1567,68624,13602,10712,20361,16392,8046,821,69934,25978,20052,40104,32944,17092,2388,138558,0.187488272,0.144719179,0.289438358,0.237763247,0.123356284,0.01723466,2.12,28,0.004262153,60,0.56021442,1,0.59,1,0.169488493,1,0.350350097,78,1298.373244,2,0.183991106,8,0.7813,21,893.85,1,0.492099904,65,1110.080017,1,12.05271439,8,4.280727926,5,91.19233678,5,0.3503,79,0.110406347,77,0.4872,78,0.3896,74,0.7765,50,8.42896421,1,0.553536152,9,0.59741058,0.40258942,0.203677683,2,0.838409602,0.161590398,0.390519848,28,0.150765471,3,0.077,18,0.114234884,4,0.118572928,57,426000,24,320,26,5.990271222,51,0.052239191,18,0.12670546,9,614.0557839,23,0.501387903,51,0.426734,23,560.6874195,15,23705.7,0.840043526,77,0.846730975,60,0.891233766,76,0.545482967,56,0.337755175,28,0.69021644,34,0.072239592,19,0.104749,42,0.066316,8,1.34,11,1.27,14,0.451241,66,0.395493,58,0.487891,75,451.0746402,432.7931919,469.0136414,12.01662842,57,24.11986316,27,1.349615324,4,0.627895899,69,0.42581446,24,2.107420719,54
Greater Geelong ,GREATER GEELONG,Rural,Barwon-South Western,1247.952352,22750,Highton,73,57.7,Highly Accessible,(0.10 / 0.45 / 1.34),<1%,2.20%,8.20%,65.40%,23.90%,0.014023713,0.015742913,19551,14771,28718,28740,16519,3293,111592,20790,16124,28630,26926,14184,1822,108476,40341,30895,57348,55666,30703,5115,220068,0.183311522,0.140388425,0.260592181,0.252949088,0.139515968,0.023242816,1.86,59,0.00762327,30,0.166791412,30,0.096,27,0.016180069,28,0.754987143,51,189.4868859,29,0.254196643,4,0.7138,33,992.85,38,0.564242814,36,682.0573564,27,7.225039533,31,1.070637712,56,62.58077231,31,0.6507,43,0.203444564,59,0.6516,38,0.439,62,0.8571,25,6.021845708,18,0.494801361,35,0.635778654,0.364221346,0.168798099,15,0.845492124,0.154507876,0.358601189,38,0.097825324,28,0.039,65,0.079007347,33,0.24920534,50,345000,33,300,32,8.63369504,32,0.046664542,22,0.086643001,22,596.1321314,34,0.508818714,48,0.561118099,3,429.3478261,51,37924.4,0.922122674,37,0.885324232,29,0.945778998,42,0.599944706,46,0.32952922,30,0.642613375,51,0.064478312,44,0.090516,66,0.048257,34,1.15,26,0.76,68,0.541472,28,0.480802,23,0.600584,37,608.9027028,520.6466413,699.6939415,16.36312413,14,19.04865769,50,0.663431303,40,1.367759056,32,0.318083501,37,2.840031263,22
Greater Shepparton ,GREATER SHEPPARTON,Rural,Hume,2421.496621,22830,Shepparton-Mooroopna,174.8,135,Highly Accessible,(0.89 / 1.46 / 2.35),<1%,<1%,1.70%,89.50%,8.40%,0.010221073,0.010631838,6419,4427,8346,7952,3989,773,31906,6796,4590,8063,7824,3756,400,31429,13215,9017,16409,15776,7745,1173,63335,0.208652404,0.142369938,0.259082656,0.249088182,0.122286256,0.018520565,2.19,14,0.034630723,2,0.115773943,41,0.104,26,0.024171296,23,0.77025958,48,333.1491277,23,0.341232227,3,0.7044,38,967.84,19,0.518765966,53,640.2961635,28,9.536591142,18,2.672024947,14,85.53118655,11,0.4801,74,0.2306945,44,0.5564,67,0.4464,61,0.8237,32,7.986517936,4,0.475918791,46,0.61243448,0.38756552,0.165046605,17,0.827753126,0.172246874,0.352779054,42,0.137974431,6,0.081,15,0.083656727,25,0.702760085,26,250000,49,250,48,6.205099866,47,0.066032313,9,0.075738191,35,584.9647493,44,0.527746192,41,0.474818648,16,508.0805569,23,11800,0.884439359,65,0.828106852,70,0.906466513,70,0.671478161,26,0.297256208,37,0.721223748,26,0.078618663,8,0.099794,49,0.041944,46,0.79,64,1.14,22,0.533413,35,0.424189,50,0.631502,23,536.8279782,454.4599762,620.4460848,14.79434752,26,22.18362675,34,0.663140444,41,0.915765375,54,0.063156233,71,3.394647509,12
Hepburn ,HEPBURN,Rural,Grampians,1472.583486,22910,Daylesford,108.4,85.8,Highly Accessible,(0.49 / 1.11 / 1.54),<1%,<1%,2.30%,73.20%,24.40%,0.004595131,0.010647885,1230,713,1752,2425,1235,215,7570,1405,792,1486,2443,1154,124,7404,2635,1505,3238,4868,2389,339,14974,0.175971684,0.100507546,0.216241485,0.325096835,0.159543208,0.022639241,2.36,5,0.006682611,42,0.126648869,37,0.04,43,0.004807692,41,0.818032955,37,113.5301189,38,0,,0.7038,39,979.71,29,0.551243966,40,217.8556159,62,6.811807132,37,0.783578202,64,44.58731802,55,0.6801,32,0.297842866,26,0.641,43,0.5674,27,0.641,72,6.576030256,13,0.550853242,10,0.594972562,0.405027438,0.156995662,25,0.801038062,0.198961938,0.448673587,10,0.120981828,13,0.073,22,0.082374768,26,0.483146067,41,270000,44,255,46,7.346066515,36,0.026460506,46,0.066730955,44,637.9610592,11,0.610756665,8,0.399473063,31,386.2288136,66,1534.7,0.95,18,0.827586207,71,0.967741935,18,0.615000499,43,0.357914514,25,0.738001959,24,0.063366337,46,0.111679,36,0.048275,33,0.88,53,0.83,59,0.469412,58,0.402659,57,0.525399,68,687.8589555,568.0317041,810.3727715,15.15960999,24,20.70255109,39,0.267129691,78,2.470949646,10,0.200347269,54,2.070255109,56
Hindmarsh ,HINDMARSH,Rural,Grampians,7524.089167,22980,Nhill,367.6,283.5,Moderately Accessible,(3.75 / 5.58 / 7.03),<1%,<1%,<1%,59.70%,40.30%,-0.007949985,-0.005003775,510,295,667,775,641,214,3102,546,279,571,943,616,93,3048,1056,574,1238,1718,1257,307,6150,0.171707317,0.093333333,0.201300813,0.279349593,0.204390244,0.049918699,2.17,18,0.010886968,17,0.057765479,74,0.021,65,0.003214346,58,0.749775382,53,48.7804878,69,0,,0.55,72,954.91,10,0.449333872,78,0,71,5.528455285,54,4.532276423,4,28.04043902,76,0.7449,14,0.428252123,4,0.7026,14,0.5559,32,0.6612,69,3.772321429,62,0.554033149,7,0.593538093,0.406461907,0.116930572,67,0.831578947,0.168421053,0.490550189,5,0.071377209,55,0.048,52,0.031867689,77,0.965517241,4,81000,79,150,74,1.300813008,77,0.012493539,71,0.084524811,25,567.7727642,58,0.635450207,3,0.369630546,38,504.017531,26,996.6,0.94047619,24,0.858823529,53,0.975903614,12,0.747225368,3,0.264180264,57,0.848979592,5,0.049723757,73,0.089857,67,0.040102,47,1.94,2,1.88,1,0.558206,22,0.548746,1,0.638358,18,829.2682927,741.4571244,918.6351706,22.76422764,1,50.40650407,1,1.788617886,1,0.650406504,65,0,76,0.81300813,76
Hobsons Bay ,HOBSONS BAY,Metro,North & West Metropolitan,64.23542734,23110,Altona Meadows,22.4,34.6,Highly Accessible,(0.00 / 0.00 / 0.00),1%,10.80%,36.80%,<1%,51.50%,0.006362242,0.006280542,7925,5404,13474,10745,5708,1021,44277,8355,6006,13081,10882,4870,582,43776,16280,11410,26555,21627,10578,1603,88053,0.184888647,0.129581048,0.30157973,0.245613437,0.120132193,0.018204945,2.07,32,0.004058566,63,0.313209344,14,0.297,12,0.056841477,11,0.543323769,67,492.884967,15,0.034562212,24,0.7831,20,997.81,44,0.580064926,32,746.5229601,15,6.246238061,45,1.870533656,26,60.0893814,36,0.515,71,0.155507305,68,0.5717,63,0.5945,19,0.8816,20,4.982347636,37,0.457459451,55,0.616794731,0.383205269,0.174244848,11,0.834076016,0.165923984,0.305934667,52,0.087492003,41,0.035,69,0.087695468,21,0.069984448,61,525000,20,350,18,6.92764585,41,0.038799227,31,0.105444759,11,610.8962386,29,0.451076619,66,0.458922996,20,457.3386296,41,11836.2,0.936090226,28,0.914498141,17,0.952440551,33,0.525331162,59,0.42811579,18,0.604895105,63,0.074657186,10,0.115344,30,0.032323,67,0.87,55,1.06,30,0.564967,19,0.418193,52,0.704035,5,490.6136077,413.3071346,568.8048246,12.83318002,50,20.15831374,42,0.749548567,32,0.840402939,58,0.431558266,23,2.38492726,43
Horsham ,HORSHAM,Rural,Grampians,4265.850524,23190,Horsham,293,228.2,Accessible,(2.89 / 3.85 / 5.15),<1%,<1%,<1%,85.70%,13.60%,0.009218998,0.005782448,1938,1236,2575,2644,1600,325,10318,1990,1318,2447,2629,1377,153,9914,3928,2554,5022,5273,2977,478,20232,0.194147885,0.126235666,0.248220641,0.26062673,0.14714314,0.023625939,1.92,51,0.012265136,11,0.050928292,76,0.023,59,0.002673201,66,0.798348294,43,143.3372875,33,0,,0.6929,41,993.32,40,0.517462978,55,623.3249196,30,10.87386319,11,3.598630882,8,87.03386714,10,0.6633,38,0.356707988,10,0.6604,34,0.5491,34,0.8845,18,5.133880603,35,0.470079255,51,0.619953596,0.380046404,0.137612839,44,0.840348331,0.159651669,0.379553636,34,0.093748746,34,0.041,64,0.06021235,63,0.808917197,19,185000,66,210,68,5.8323448,54,0.053747701,16,0.075923788,34,577.8385726,53,0.557580221,29,0.179097011,77,623.4429497,5,3184.5,0.864,72,0.822134387,74,0.915322581,62,0.662818236,31,0.290490916,44,0.748106684,21,0.05670816,66,0.131848,14,0.037411,51,0.65,72,1.01,34,0.539213,30,0.433749,48,0.667755,10,598.0624753,484.5900368,716.1589671,15.86595492,18,21.89600633,36,0.642546461,44,2.125345987,15,0.098853302,68,3.015025702,20
Hume,HUME,,,40282.53942,NA,,,,NA,,<1%,<1%,<1%,56.60%,42.50%,0.010326152,0.015715821,25885,16874,33326,37251,19738,3691,136765,27770,18878,32880,37385,18593,1965,137471,53655,35752,66206,74636,38331,5656,274236,0.19565265,0.130369463,0.241419799,0.272159746,0.139773771,0.020624572,,1,0.01577101,2,0.103076754,6,0.056,5,0.010190009,5,0.812656268,4,131.2737934,5,0.261111111,1,0.6757,5,,,0.535075161,6,364.5997122,8,8.117096224,4,2.077367304,2,62.73852995,4,0.6292,5,0.267374213,4,0.6251,6,0.542,4,0.7942,5,6.105784686,1,0.483388741,5,0.615513817,0.384486183,0.14886818,7,0.820671731,0.179328269,0.364646044,4,0.103731368,4,0.069,2,0.075854365,4,,,,,250,6,8.777111685,4,0.049959819,1,0.065435939,8,595.5951356,4,0.549125831,3,0.336769714,6,470.5867458,5,46407.3,0.915840257,5,0.87077748,5,0.939214632,5,0.665350307,2,0.275941617,7,0.704494118,2,0.069566921,2,0.108,3,0.045,7,0.84,7,0.98,3,0.554,2,0.473,2,0.638,1,590.7320702,503.0526816,677.96117,12.98151957,6,22.15245263,3,0.722005864,4,1.239808049,5,0.34277046,3,2.818740063,4
Hume ,HUME,Metro,North & West Metropolitan,503.7296741,23270,Sunbury,43.6,73.1,Highly Accessible,(0.00 / 0.15 / 0.46),1.90%,3.60%,10.10%,53.70%,30.60%,0.026843629,0.021660007,18996,13476,25693,19906,7139,792,86002,20304,13869,25261,19402,6718,440,85994,39300,27345,50954,39308,13857,1232,171996,0.228493686,0.158986255,0.296251076,0.228540199,0.080565827,0.007162957,2.13,25,0.006595357,43,0.313966415,13,0.383,9,0.075084199,8,0.468044016,73,431.4053815,20,0.351752022,2,0.7212,31,965.16,16,0.599067344,26,777.2566997,11,11.84329868,9,1.953616363,24,73.42831752,18,0.4897,73,0.112215091,76,0.4991,76,0.45,60,0.7782,46,8.358302014,2,0.497851031,29,0.621079518,0.378920482,0.176606922,9,0.842159008,0.157840992,0.279889708,59,0.160932945,1,0.073,22,0.122654522,2,0.20649652,53,368250,31,317.5,28,10.08162981,22,0.041234063,27,0.062245107,51,652.6056298,4,0.434650173,69,0.334514332,51,595.5671261,10,30310.6,0.874587459,69,0.853245532,56,0.895310279,75,0.582637267,49,0.275167785,50,0.646089,49,0.073978272,13,0.12751,17,0.084838,2,1.15,26,1.54,4,0.534582,33,0.486306,21,0.583107,45,386.0554897,340.6897514,431.4254483,12.32005395,53,19.36091537,44,0.837228773,25,1.20933045,36,0.238377637,47,2.598897649,34
Indigo ,INDIGO,Rural,Hume,2039.830038,23350,Beechworth,268.9,206.5,Highly Accessible,(0.97 / 1.46 / 2.73),<1%,<1%,<1%,74.40%,24.50%,0.010062887,0.005898643,1570,848,1711,2620,1129,210,8088,1537,984,1809,2474,1142,77,8023,3107,1832,3520,5094,2271,287,16111,0.192849606,0.113711129,0.218484265,0.316181491,0.140959593,0.017813916,1.94,50,0.006840391,39,0.083261803,58,0.022,62,0.002258611,69,0.861574896,19,24.82775743,73,0,,0.6852,43,1016.24,56,0.58669923,30,0,71,4.965551487,58,0.768083918,66,26.82689467,78,0.7398,15,0.337991184,13,0.7025,15,0.7228,4,0.7904,43,3.910430805,59,0.45979783,54,0.618999597,0.381000403,0.119023654,63,0.797441365,0.202558635,0.326023676,48,0.067624685,63,0.084,11,0.063450347,58,0.666666667,30,241000,52,245,51,6.144869965,48,0.021488859,57,0.044146247,68,589.1922972,38,0.576504415,18,0.410809037,28,335.0031309,75,1972.1,0.907563025,50,0.876033058,41,0.956521739,30,0.64,36,0.334781709,29,0.775471698,12,0.047619048,75,0.160548,3,0.033095,64,0.63,73,0.81,61,0.510488,45,0.478543,27,0.530642,67,521.3829061,494.5598417,548.4232831,6.889702688,79,15.95183415,67,0.682763329,38,3.28967786,7,0.372416361,31,5.213829061,4
Kingston ,KINGSTON,Metro,Southern Metropolitan,91.36673873,23430,Cheltenham,19.5,30.1,Highly Accessible,(0.00 / 0.00 / 0.00),2.40%,13.70%,44.40%,4.60%,35%,0.010890252,0.007412889,12552,8585,22059,19073,10800,2352,75421,13141,9861,22054,18247,8880,1226,73409,25693,18446,44113,37320,19680,3578,148830,0.172633206,0.123940066,0.296398576,0.250755896,0.132231405,0.024040852,1.79,62,0.002274743,72,0.302740695,17,0.24,18,0.041810975,15,0.632744641,60,389.0344689,22,0.013816926,34,0.8039,14,1030.37,62,0.617778128,23,745.7970565,16,5.986696231,46,1.65367399,32,56.40339381,38,0.5195,69,0.166419581,66,0.6094,57,0.488,54,0.895,17,5.249194838,31,0.437516674,62,0.634400831,0.365599169,0.150022131,31,0.832258065,0.167741935,0.293928869,56,0.06499917,65,0.039,65,0.087927907,20,0.026315789,68,615000,14,400,8,7.162534435,38,0.023800664,53,0.092537313,16,613.3116892,25,0.453320577,64,0.493010751,13,466.5876376,38,19305.9,0.961509434,10,0.94365139,8,0.979057592,10,0.488740534,63,0.400741662,20,0.582993946,69,0.060383444,56,0.094277,58,0.035553,56,1.15,26,0.82,60,0.457917,63,0.381267,62,0.521488,69,553.6518175,498.5348908,610.2793935,12.31606531,54,19.42484714,43,0.779412753,31,0.994423167,50,0.349391924,33,2.566686824,36
Knox ,KNOX,Metro,Eastern Metropolitan,113.8183971,23670,Rowville,30.6,47.2,Highly Accessible,(0.00 / 0.00 / 0.01),3.80%,5.80%,48.40%,6.80%,35.30%,0.00772066,0.004998267,14268,11833,21805,21762,8503,1586,79757,14369,12432,21420,20689,7586,744,77240,28637,24265,43225,42451,16089,2330,156997,0.182404759,0.154557093,0.275323732,0.270393702,0.102479665,0.014841048,1.77,64,0.00342547,68,0.263668852,22,0.183,23,0.023965785,24,0.661217783,57,257.3297579,27,0.04950495,22,0.7617,26,1049.55,68,0.68928293,7,695.3827935,25,6.344070269,42,1.275503991,47,46.25347172,53,0.5663,60,0.174865791,65,0.5359,71,0.3205,79,0.9343,7,3.681505751,63,0.423671909,68,0.65114873,0.34885127,0.148886839,33,0.825351641,0.174648359,0.230328221,73,0.066394894,64,0.066,29,0.077653408,38,0.05988024,62,490250,22,350,18,3.293056555,72,0.023853126,52,0.046595942,65,639.2044396,10,0.452046132,65,0.547508182,5,455.9873673,42,19446.3,0.938077634,27,0.893442623,25,0.967361741,20,0.526560144,58,0.345468694,26,0.690855268,33,0.062587658,51,0.124318,20,0.044147,41,0.88,53,0.95,41,0.493879,54,0.389692,60,0.599893,39,501.9204189,443.8481889,561.8850337,13.669051,36,16.45254368,64,0.509563877,62,1.133779626,40,0.343955617,35,2.579667127,35
Latrobe ,LATROBE,Rural,Gippsland,1426.037813,23810,Traralgon,163.7,125.8,Highly Accessible,(0.80 / 1.30 / 2.27),<1%,1.20%,3.40%,72.50%,22.80%,0.007549734,0.008429817,7090,5598,9780,10096,5164,907,38635,7519,5615,9292,9945,4612,526,37509,14609,11213,19072,20041,9776,1433,76144,0.19186016,0.147260454,0.250472788,0.263198676,0.128388317,0.018819605,1.97,46,0.013305001,10,0.14091007,35,0.062,34,0.00830477,35,0.758577609,49,93.24437907,47,0.014084507,33,0.696,40,950.74,8,0.533272457,50,846.302142,6,16.32433284,2,1.96183941,22,100.7642204,4,0.5553,63,0.214505926,52,0.627,51,0.4283,67,0.7974,40,6.859372475,11,0.525301014,17,0.627822672,0.372177328,0.188609588,5,0.837651123,0.162348877,0.40241544,22,0.13860354,5,0.06,37,0.062804321,59,0.833333333,14,197250,65,210,68,5.056209288,58,0.069767447,7,0.099912775,12,595.8271407,35,0.528249134,40,0.528950876,8,407.1856287,61,12007.4,0.916262136,41,0.82746051,72,0.928223844,54,0.677141705,24,0.235122155,75,0.678734222,40,0.084859155,4,0.090964,65,0.050959,26,1.05,37,1.21,17,0.536523,31,0.47672,28,0.603149,36,555.5263711,499.5470428,613.1861687,16.40313091,12,27.81571759,16,0.433389368,68,3.309518806,6,0.078798067,70,2.744799328,27
Loddon ,LODDON,Rural,Loddon Mallee,6695.362059,23940,Boort,252.2,191.8,Accessible,(0.79 / 2.67 / 3.86),<1%,<1%,<1%,90.10%,9.60%,-0.00803394,-0.003120741,755,378,756,1195,734,135,3953,676,345,813,1341,792,127,4094,1431,723,1569,2536,1526,262,8047,0.177830247,0.089847148,0.194979495,0.315148503,0.189635889,0.032558718,2.38,4,0.010510696,19,0.06841536,66,0.015,77,0.003025918,60,0.900338848,3,149.1238971,31,0,,0.4769,79,941.57,4,0.453436095,77,0,71,5.716416056,49,0.464446378,77,46.38405617,51,0.7293,19,0.379107575,6,0.6973,17,0.5448,35,0.4886,79,4.355534543,50,0.601191489,2,0.545016988,0.454983012,0.130703422,50,0.805054152,0.194945848,0.523937061,2,0.094983389,31,0.112,2,0.042362003,75,0.947368421,6,145000,73,160,73,3.355287685,71,0.025214762,50,0.046246649,66,561.3687213,62,0.628936252,5,0.227538734,76,568,13,988.8,0.903846154,53,0.909090909,21,0.964912281,22,0.742169926,4,0.257767549,63,0.868229588,4,0.066666667,33,0.101982,46,0.045604,39,1.68,4,0.87,53,0.553671,23,0.46043,37,0.629897,24,658.6305455,328.8641538,977.0395701,17.52205791,6,32.93152728,8,0.621349571,47,0.621349571,70,0.248539829,46,1.118429228,72
Loddon Mallee,LODDON MALLEE,,,58986.48418,NA,,,,NA,,<1%,<1%,<1%,71.40%,28%,0.009968744,0.010373605,30836,20635,39298,43028,23257,4479,161533,32408,21126,38025,43203,21673,2429,158864,63244,41761,77323,86231,44930,6908,320397,0.19739261,0.13034142,0.241334969,0.269137976,0.140232274,0.021560751,,3,0.016765325,1,0.083004209,8,0.04,7,0.006518563,6,0.849991318,1,117.9786328,6,0.100529101,3,0.6059,8,,,0.530846406,8,434.8992851,7,9.216690543,2,1.596609831,5,60.38467433,6,0.6623,1,0.268819193,3,0.6308,5,0.56,1,0.7677,4,5.12781278,6,0.506877772,2,0.606741988,0.393258012,0.155031142,3,0.834431631,0.165568369,0.389552422,2,0.107752061,2,0.071,1,0.073545905,5,,,,,260,5,6.794695331,7,0.048602115,2,0.074443053,4,571.4752576,8,0.560321965,1,0.326706733,7,485.2610611,4,53878.9,0.905422134,7,0.857606795,6,0.931812484,7,0.663123677,3,0.302563131,6,0.719389406,1,0.068032572,4,0.114,2,0.051,2,1,4,1.08,2,0.56,1,0.488,1,0.637,2,607.3714798,486.5878799,730.1843086,14.3447036,3,23.7018449,2,0.630467826,7,1.638592122,4,0.20287331,7,2.752768962,6
